viewCount,likeCount,dislikeCount,favoriteCount,commentCount,title,publishedAt,playlist_anme
517576,40190,1270,0,1666,Когда человечество проснулось. Это было не навсегда | Артур Шарифов,2019-09-25T18:24:38Z,Артур Шарифов
176356,16595,261,0,688,"Неизвестный отец электроники | ""Изменившие мир"" с Артуром Шарифовым",2019-07-04T19:13:55Z,Артур Шарифов
279406,26443,401,0,927,Предсказания из машины | Артур Шарифов,2019-06-30T20:05:11Z,Артур Шарифов
496383,41243,1008,0,1401,"Искусство, опередившее науку | Артур Шарифов",2019-06-19T18:30:38Z,Артур Шарифов
912701,62121,2099,0,3121,Сон как ошибка | feat. Артур Шарифов,2019-05-30T12:19:03Z,Артур Шарифов
192015,14868,523,0,724,"Что, если бы Стив Джобс продавал ядерные реакторы",2019-05-30T12:19:03Z,Артур Шарифов
533545,38264,623,0,1122,Так появился Интернет | feat. Артур Шарифов,2019-05-30T12:19:03Z,Артур Шарифов
538750,34558,653,0,1083,Первая в истории фотография | feat. Артур Шарифов,2019-05-30T12:19:03Z,Артур Шарифов
401612,23375,640,0,679,Проклятие изобретателей | feat. Артур Шарифов,2019-05-30T12:19:03Z,Артур Шарифов
401204,21193,553,0,783,Бесы беспилотников | feat. Артур Шарифов,2019-05-30T12:19:03Z,Артур Шарифов
331930,23597,511,0,2808,Люди В ОСОЗНАННОМ СНЕ вышли на связь | Пушка,2021-02-23T16:49:44Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
240176,22342,399,0,1406,Машина создала геном НОВОГО ЧЕЛОВЕКА | Пушка,2021-02-12T17:51:06Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
438871,38184,1029,0,1296,Открыто новое СОСТОЯНИЕ ВЕЩЕСТВА | Пушка,2021-01-21T17:38:06Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
280196,24504,842,0,1315,Вспышка неизвестной болезни. На этот раз в Индии,2020-12-16T12:48:31Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
355278,30228,824,0,995,Учёные оживили древних червей в вечной мерзлоте Сибири | ПУШКА,2020-11-13T10:45:58Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
401188,31541,920,0,1311,ФИЗИКИ ВПЕРВЫЕ ДОБЫЛИ ИЗ СВЕТА МАТЕРИЮ | ПУШКА,2020-09-17T19:56:01Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
561054,34317,1443,0,1000,"Реальные загадочные места, куда никогда не попасть | ПУШКА",2020-07-08T10:02:50Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
201236,13825,552,0,496,Пик эпидемии - совсем не пик | Пушка,2020-03-25T17:28:19Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
148032,9364,241,0,316,Четвёртое измерение тёмной энергии и прочий космос | Пушка #05,2019-10-10T11:21:56Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
79081,4545,145,0,172,"Камни-антигравы, СССР в моде, космопарус на орбите | Пушка #04 (16+)",2019-06-28T11:52:51Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
69185,5936,234,0,276,"Игра престолов по науке, падаваны Маска и звериное реалити | Пушка #03",2019-05-25T19:25:50Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
82606,8445,91,0,239,"Микророботы без всего, биология добра и зла, машина времени | Пушка #02",2019-05-12T14:17:56Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
72161,8265,75,0,360,"Хищный иммунитет, манипуляция Ютубом, обман-гравитация | Пушка #01",2019-05-05T18:32:24Z,🔫 рубрика ПУШКА. Отборные новости науки и технологий
78375,4428,67,0,623,"Круче биология или физика, реальная жизнь учёного | Зона Брока // ток-шоу Александра Панчина (пилот)",2019-05-05T18:20:31Z,🧠 💬 Зона Брока // ток-шоу Александра Панчина
72455,3466,75,0,373,"Медицина не то, чем кажется | Зона Брока // ток-шоу Александра Панчина",2019-05-05T18:20:31Z,🧠 💬 Зона Брока // ток-шоу Александра Панчина
